reading_no;sample_measurement_id;sample_id;site_id;sweref_n;sweref_e;parish;patina;hue;color;material;artefact;type;note;texture;grain_size;layering;topography;homogeneity;inclusion;surface;max_width_mm;max_length_mm;max_height_mm;weight_g;area_mm;sample_size;Bal;Mg;Al;Si;P;S;Cl;K;Ca;V;Cr;Mn;Fe;Co;Ni;Cu;Zn;As;Se;Rb;Sr;Y;Zr;Nb;Mo;Pd;Ag;Cd;Sn;Sb;Ba;Hf;Ta;W;Re;Au;Hg;Ti;Pb;Bi;Th;U
638;17;17;Lycksele 301;7168150;676423;Lycksele;Yes;Dark;Black;Quartzite;Arrow point fragment;Point fragment;;Medium-grained;Porphyroblastic;Non-foliated;Fine;No;Mineral grains;Iron oxide or dirt;16;35;;;560;Small;53.8805 ;0.3801 ;0.6862 ;44.0952 ;0.0755 ;0.0624 ;0.3164 ;0.1155 ;0.0273 ;;0.0039 ;;0.2594 ;;;;;;;;0.0009 ;;0.0057 ;;;;;;0.0005 ;;0.0023 ;;;;;;;0.0882 ;;;;
639;17b;17;Lycksele 301;7168150;676423;Lycksele;Yes;Dark;Black;Quartzite;Arrow point fragment;Point fragment;Sample point on side with iron oxide;Medium-grained;Porphyroblastic;Non-foliated;Fine;No;Mineral grains;Iron oxide or dirt;16;35;;;560;Small;59.1900 ;0.4494 ;3.3110 ;35.6658 ;0.0747 ;0.0610 ;0.0907 ;0.2759 ;0.1163 ;0.0007 ;0.0034 ;;0.5846 ;;;;;0.0003 ;;0.0002 ;0.0011 ;0.0001 ;0.0097 ;;;;;;;;0.0023 ;;;;;;;0.1629 ;;;;
640;18;18;Lycksele 301;7168150;676423;Lycksele;No;Light;Opaque;Quartzite;Arrow point;Point;;Fine-grained;Granoblastic;Non-foliated;Conchoidal;Yes;;;19;41;;;779;Medium;54.6178 ;;0.1817 ;44.7958 ;0.0178 ;0.0262 ;0.1729 ;0.0586 ;0.0108 ;;0.0027 ;;0.0109 ;;;;;;;;;;;;;;;;;;0.0046 ;;;;;;;0.0065 ;;;;
641;19;19;Lycksele 301;7168150;676423;Lycksele;Yes;Dark;Black;Quartzite;Arrow point;Point;;Medium-grained;Porphyroblastic;Non-foliated;Conchoidal;No;Mineral grains;;14;56;;;784;Medium;54.1323 ;;0.6631 ;43.9662 ;0.0253 ;0.0301 ;0.1290 ;0.3451 ;0.0139 ;0.0019 ;0.0055 ;;0.0713 ;;;;;0.0001 ;;0.0014 ;0.0014 ;;0.0062 ;;;;;;;;0.4562 ;;;;;;;0.0408 ;;;;
642;20;20;Lycksele 301;7168150;676423;Lycksele;Yes;Dark;Black;Quartzite;Point;Point;;Medium-grained;Porphyroblastic;Non-foliated;Fine;No;Bands of quartz;Iron oxide;16;51;;;816;Medium;62.1020 ;;0.3633 ;36.8142 ;0.0192 ;0.0285 ;0.2916 ;0.1049 ;0.0132 ;0.0008 ;0.0028 ;;0.0490 ;;;;;0.0001 ;;0.0003 ;0.0005 ;0.0009 ;0.0479 ;;;;;;;;0.0251 ;;;;;;;0.1354 ;;;0.0003 ;
643;21;21;Lycksele 301;7168150;676423;Lycksele;Yes;White;White;Quartzite;Arrow point;Point;;Fine-grained;Granoblastic;Non-foliated;Fine;Yes;;;17;40;;;680;Medium;56.9437 ;;0.0917 ;42.7782 ;;0.0225 ;0.0833 ;0.0203 ;0.0033 ;;0.0032 ;;0.0044 ;;;;;;;;;;;;;;;;0.0006 ;;0.0051 ;;;;;;;;;;;
644;22;22;Lycksele 401;7182333;648209;Lycksele;No;Dark;Black;Quartzite;Arrow point;Point;;Medium-grained;Granoblastic;Non-foliated;Conchoidal;No;Mineral grains;;22;45;;;990;Medium;57.0985 ;0.3636 ;0.2019 ;41.7793 ;0.0335 ;0.0594 ;0.2830 ;0.0858 ;0.0170 ;;0.0043 ;;0.0540 ;;;;;;;;0.0008 ;;0.0015 ;;;;;;;;0.0114 ;;;;;;;0.0060 ;;;;
645;23;23;Lycksele 401;7182333;648209;Lycksele;No;Light;Opaque;Quartz;Arrow point;Point;;Fine-grained;Granoblastic;Non-foliated;Fine;Yes;;;15;32;;;480;Small;53.5378 ;;;45.9882 ;;;0.2613 ;0.0558 ;0.0029 ;;;;;;;;;;;;;;;;;;;;0.0005 ;;0.0065 ;;;;;;;0.0055 ;;;;
646;24;24;;7295916;573443;Sorsele;No;Light;Opaque;Quartzite;Point;Point;;Fine-grained;Granoblastic;Non-foliated;Fine;Yes;;;15;59;;;885;Medium;60.5494 ;;0.3592 ;37.6443 ;0.0487 ;0.2150 ;0.7840 ;0.2518 ;0.0925 ;;0.0027 ;;0.0234 ;;;;0.0005 ;;;;;;;;;;;;0.0010 ;;0.0077 ;;;;;;;0.0197 ;;;;
647;25;25;Sorsele 282;7245571;623775;Sorsele;No;Dark;Gray;Quartzite;Point preform;Preform;;Medium-grained;Granoblastic;Non-foliated;Conchoidal;Yes;;;38;56;20;33;2128;Large;52.8740 ;;0.2576 ;46.1180 ;0.0168 ;0.0563 ;0.3304 ;0.1085 ;0.0183 ;;0.0032 ;;0.0166 ;;;0.0005 ;;;;0.0006 ;0.0006 ;;0.0112 ;;;;;;;;0.0203 ;;;;;;;0.0379 ;;;0.0001 ;
