reading_no;sample_measurement_id;sample_id;site_id;sweref_n;sweref_e;parish;patina;hue;color;material;artefact;type;note;texture;grain_size;layering;topography;homogeneity;inclusion;surface;max_width_mm;max_length_mm;max_height_mm;weight_g;area_mm;sample_size;Bal;Mg;Al;Si;P;S;Cl;K;Ca;V;Cr;Mn;Fe;Co;Ni;Cu;Zn;As;Se;Rb;Sr;Y;Zr;Nb;Mo;Pd;Ag;Cd;Sn;Sb;Ba;Hf;Ta;W;Re;Au;Hg;Ti;Pb;Bi;Th;U
688;63;63;;7099679;730889;Vaennaes;Yes;Dark;Gray;Quartzite;Point preform;Preform;;Medium-grained;Porphyroblastic;Non-foliated;Conchoidal;No;Mineral grains;;29;104;11;36;3016;Large;57.1984 ;0.2563 ;0.9369 ;40.6822 ;0.0318 ;0.1338 ;0.2023 ;0.3301 ;0.0487 ;;0.0017 ;;0.0716 ;;;;0.0016 ;;;0.0015 ;0.0002 ;;0.0207 ;;;;;;0.0008 ;;0.0236 ;;;;;;;0.0575 ;;;0.0002 ;
689;64;64;;7099679;730889;Vaennaes;Yes;Dark;Gray;Quartzite;Point preform;Preform;;Medium-grained;Porphyroblastic;Non-foliated;Fine;No;Mineral grains;;27;109;10;30;2943;Large;55.3406 ;0.4796 ;0.8959 ;42.7718 ;0.0270 ;0.0538 ;0.0371 ;0.1864 ;0.0379 ;;0.0014 ;;0.0722 ;;;;0.0009 ;;;0.0009 ;0.0005 ;;0.0158 ;;;;;;;;0.0159 ;;;;;;;0.0621 ;;;0.0002 ;
690;65;65;;7099679;730889;Vaennaes;Yes;Dark;Gray;Quartzite;Point preform;Preform;;Medium-grained;Porphyroblastic;Non-foliated;Conchoidal;No;Mineral grains;Iron oxide;30;101;10;30;3030;Large;58.5933 ;;0.4958 ;40.0691 ;0.0387 ;0.2140 ;0.1995 ;0.2033 ;0.0746 ;;0.0016 ;;0.0324 ;;;;0.0031 ;;;0.0006 ;0.0005 ;;0.0133 ;;;;;;0.0005 ;;0.0219 ;;;;;;;0.0375 ;;;0.0002 ;
691;66;66;;7099679;730889;Vaennaes;Yes;Dark;Gray;Quartzite;Point preform;Preform;;Medium-grained;Granoblastic;Non-foliated;Conchoidal;Yes;;Dark stain;29;90;10;24;2610;Large;0.0156 ;;3.2139 ;94.6110 ;0.2254 ;0.2274 ;0.2784 ;0.7296 ;0.0999 ;;0.0189 ;0.1547 ;0.0130 ;0.0018 ;;;;;;;;;;;;;;;0.0092 ;;0.2184 ;;;;;;;0.1828 ;;;;
692;67;67;;7099679;730889;Vaennaes;Yes;Dark;Gray;Quartzite;Point preform;Preform;;Medium-grained;Granoblastic;Non-foliated;Conchoidal;Yes;;;29;96;9;27;2784;Large;55.9814 ;0.2239 ;0.8679 ;42.0753 ;0.0214 ;0.2084 ;0.1582 ;0.2757 ;0.0603 ;0.0006 ;0.0006 ;;0.0543 ;;;;0.0014 ;;;0.0012 ;0.0006 ;;0.0168 ;;;;;;0.0005 ;;0.0170 ;;;;;;;0.0343 ;;;0.0001 ;
693;68;68;;7099679;730889;Vaennaes;Yes;Dark;Gray;Quartzite;Point preform;Preform;;Medium-grained;Porphyroblastic;Non-foliated;Conchoidal;No;Mineral grains;;29;92;9;23;2668;Large;54.3380 ;0.7905 ;1.2831 ;43.0190 ;0.0400 ;0.0726 ;0.0348 ;0.2132 ;0.0422 ;;0.0031 ;;0.0734 ;;;;0.0011 ;;;0.0010 ;0.0004 ;;0.0194 ;;;;;;;;0.0167 ;;;;;;;0.0513 ;;;0.0002 ;
694;69;69;;7099679;730889;Vaennaes;Yes;Dark;Gray;Quartzite;Point preform;Preform;;Medium-grained;Porphyroblastic;Non-foliated;Conchoidal;No;Mineral grains;Iron oxide;32;72;12;26;2304;Large;54.1702 ;0.3919 ;1.1065 ;43.7284 ;0.0614 ;0.0790 ;0.0884 ;0.1612 ;0.0341 ;;0.0034 ;;0.0960 ;;;;0.0015 ;;;0.0007 ;0.0007 ;;0.0141 ;;;;;;0.0007 ;;0.0200 ;;;;;;;0.0417 ;;;;
695;70;70;;7099679;730889;Vaennaes;Yes;Light;Gray;Quartzite;Point preform;Preform;;Medium-grained;Granoblastic;Non-foliated;Conchoidal;Yes;;;27;93;10;26;2511;Large;55.4778 ;0.3981 ;1.7389 ;41.7416 ;0.0638 ;0.0694 ;0.0159 ;0.3529 ;0.0250 ;;0.0022 ;;0.0740 ;;;;0.0007 ;;;0.0009 ;0.0018 ;;0.0020 ;;;;;;0.0005 ;;0.0221 ;;;;;;;0.0125 ;;;;
696;71;71;;7099679;730889;Vaennaes;Yes;Light;Gray;Quartzite;Point preform;Preform;;Medium-grained;Porphyroblastic;Non-foliated;Conchoidal;No;Mineral grains;Iron oxide;30;98;11;31;2940;Large;54.0827 ;0.3549 ;0.7533 ;44.2222 ;0.0343 ;0.1372 ;0.0804 ;0.1772 ;0.0208 ;;0.0039 ;;0.0416 ;;;;0.0018 ;;;0.0007 ;0.0006 ;;0.0248 ;;;;;;0.0006 ;;0.0176 ;;;;;;;0.0452 ;;;0.0002 ;
697;72;72;;7099679;730889;Vaennaes;Yes;Dark;Gray;Quartzite;Point preform;Preform;;Medium-grained;Granoblastic;Non-foliated;Conchoidal;No;Mineral grains;Iron oxide;32;93;11;32;2976;Large;58.7066 ;;1.3724 ;38.6133 ;0.0659 ;0.3971 ;0.0951 ;0.3959 ;0.1057 ;0.0007 ;0.0034 ;;0.1253 ;;;;0.0022 ;;;0.0019 ;0.0013 ;;0.0042 ;;;;;;;;0.0833 ;;;;;;;0.0260 ;;;;
698;73;73;;7099679;730889;Vaennaes;Yes;Dark;Gray;Quartzite;Point preform;Preform;;Medium-grained;Granoblastic;Non-foliated;Conchoidal;No;Mineral grains;;37;116;11;46;4292;Large;59.9642 ;;1.0538 ;37.9274 ;0.0490 ;0.2520 ;0.0363 ;0.2361 ;0.0595 ;0.0012 ;0.0007 ;;0.1220 ;;;0.0007 ;0.0077 ;0.0002 ;;0.0011 ;0.0002 ;0.0001 ;0.0272 ;;;;;;0.0007 ;;0.0214 ;;;;;;;0.0794 ;;;0.0002 ;
699;74;74;;7099679;730889;Vaennaes;Yes;Dark;Gray;Quartzite;Point preform;Preform;;Medium-grained;Granoblastic;Non-foliated;Conchoidal;No;Dark mineral inclusion;;30;96;12;35;2880;Large;0.0265 ;;3.3423 ;88.5919 ;0.2720 ;2.4874 ;2.2720 ;1.7494 ;0.5255 ;;0.0105 ;0.2290 ;0.0055 ;0.0039 ;;;;;;;;;;;;;;;0.0097 ;;0.3358 ;;;;;;;0.1386 ;;;;
700;75;75;;7099679;730889;Vaennaes;Yes;Dark;Gray;Quartzite;Point preform;Preform;;Medium-grained;Granoblastic;Non-foliated;Conchoidal;No;Dark mineral inclusion;;30;82;10;23;2460;Large;63.5808 ;;0.7457 ;35.0935 ;0.0252 ;0.0599 ;0.0769 ;0.1979 ;0.0285 ;0.0012 ;0.0010 ;;0.0863 ;;;;0.0021 ;;;0.0015 ;0.0002 ;;0.0133 ;;;;;;0.0010 ;;0.0422 ;;;;;;;0.0426 ;;;0.0002 ;
701;76;76;;7099679;730889;Vaennaes;Yes;Dark;Gray;Quartzite;Point preform;Preform;;Medium-grained;Granoblastic;Non-foliated;Conchoidal;Yes;;Iron oxide;29;105;11;32;3045;Large;59.8680 ;;0.6258 ;38.3064 ;0.0939 ;0.3752 ;0.1675 ;0.2608 ;0.0335 ;;0.0035 ;;0.1590 ;;;;0.0037 ;0.0003 ;;0.0008 ;0.0004 ;;0.0198 ;;;;;;0.0008 ;;0.0291 ;;;;;;;0.0508 ;0.0008 ;;;
702;77;77;;7099679;730889;Vaennaes;Yes;Dark;Gray;Quartzite;Point preform;Preform;;Medium-grained;Granoblastic;Non-foliated;Conchoidal;Yes;;Iron oxide;30;120;10;40;3600;Large;53.9155 ;0.3575 ;0.8294 ;44.4174 ;0.0275 ;0.1000 ;0.0822 ;0.1282 ;0.0240 ;;0.0033 ;;0.0476 ;;;;0.0020 ;;;0.0007 ;0.0003 ;;0.0123 ;;;;;;;;0.0190 ;;;;;;;0.0329 ;;;0.0001 ;
703;78a;78;;7099679;730889;Vaennaes;No;Dark;Gray streaked with black;Quartzite;Point preform;Preform;;Fine-grained;Granoblastic;Non-foliated;Conchoidal;No;Dark mineral inclusion;;25;117;9;29;2925;Large;57.3463 ;;1.2832 ;40.3740 ;0.0480 ;0.1656 ;0.1964 ;0.4132 ;0.0800 ;;0.0005 ;;0.0566 ;;;;0.0023 ;;;0.0007 ;0.0022 ;;0.0032 ;;;;;;0.0004 ;;0.0152 ;;;;;;;0.0120 ;;;0.0002 ;
704;78b;78;;7099679;730889;Vaennaes;No;Dark;Gray streaked with black;Quartzite;Point preform;Preform;Sample point on dark mineral inclusion;Fine-grained;Granoblastic;Non-foliated;Conchoidal;No;Dark mineral inclusion;;25;117;9;29;2925;Large;0.0277 ;1.2155 ;5.9459 ;89.3155 ;0.2645 ;0.4201 ;1.0024 ;1.1645 ;0.2161 ;;0.0131 ;0.1931 ;0.0054 ;0.0034 ;;;;;;;;;;;;;;;0.0034 ;;0.1574 ;;;;;;;0.0521 ;;;;
705;79;79;;7099679;730889;Vaennaes;Yes;Dark;Gray;Quartzite;Point preform;Preform;;Medium-grained;Granoblastic;Non-foliated;Conchoidal;No;Mineral grains;;26;56;10;13;1456;Medium;54.4382 ;0.3309 ;0.4508 ;44.3112 ;0.0204 ;0.0562 ;0.0684 ;0.1534 ;0.0190 ;;0.0018 ;;0.0592 ;;;;0.0010 ;;;0.0006 ;0.0004 ;;0.0126 ;;;;;;0.0006 ;;0.0166 ;;;;;;;0.0585 ;;;;
706;80;80;;7099679;730889;Vaennaes;Yes;Dark;Gray;Quartzite;Point preform;Preform;;Medium-grained;Granoblastic;Non-foliated;Conchoidal;No;Dark mineral inclusion;;30;54;11;19;1620;Medium;55.8398 ;;0.6545 ;42.8046 ;0.0307 ;0.3116 ;0.0224 ;0.1009 ;0.0179 ;;0.0035 ;;0.0551 ;;;;0.0115 ;0.0001 ;;0.0005 ;0.0004 ;;0.0055 ;;;;;;;;0.0159 ;;;;;;;0.0306 ;;;;
707;81;81;;7099679;730889;Vaennaes;Yes;Dark;Gray;Quartzite;Point preform;Preform;;Medium-grained;Granoblastic;Non-foliated;Conchoidal;No;Mineral grains;;30;93;10;28;2790;Large;55.1829 ;;0.7826 ;43.5297 ;0.0455 ;0.1502 ;0.0149 ;0.1123 ;0.0458 ;;0.0044 ;;0.0585 ;;;;0.0108 ;0.0003 ;;0.0003 ;0.0003 ;;0.0096 ;;;;;;0.0005 ;;0.0166 ;;;;;;;0.0348 ;;;;
708;82;82;;7099679;730889;Vaennaes;Yes;Dark;Gray;Quartzite;Point preform;Preform;;Medium-grained;Granoblastic;Non-foliated;Conchoidal;Yes;;;32;53;11;23;1696;Medium;54.7351 ;;0.8646 ;43.6180 ;0.0565 ;0.0565 ;0.0656 ;0.1635 ;0.0376 ;0.0005 ;0.0033 ;;0.0704 ;;;;0.0007 ;;;0.0010 ;0.0003 ;0.0002 ;0.0280 ;;;;;;0.0012 ;;0.0265 ;;;;;;;0.0644 ;;;0.0002 ;
709;83;83;;7099679;730889;Vaennaes;Yes;Dark;Gray;Quartzite;Point preform;Preform;;Medium-grained;Granoblastic;Non-foliated;Conchoidal;No;Mineral grains;Iron oxide;28;81;10;24;2268;Large;;;5.4308 ;88.7660 ;0.4217 ;1.1636 ;0.7176 ;1.3459 ;0.8265 ;0.0077 ;0.0241 ;0.1761 ;0.0111 ;0.0043 ;;;;;;;;;;;;;;;0.0083 ;;0.2027 ;;;;;;;0.8999 ;;;;
710;84;84;;7099679;730889;Vaennaes;Yes;Dark;Gray;Quartzite;Point preform;Preform;;Medium-grained;Granoblastic;Non-foliated;Conchoidal;Yes;;;25;91;10;21;2275;Large;56.3457 ;0.2837 ;1.7271 ;40.6472 ;0.0478 ;0.1187 ;0.1334 ;0.3658 ;0.0915 ;;0.0054 ;;0.1269 ;;;;0.0027 ;;;0.0014 ;0.0007 ;0.0003 ;0.0243 ;;;;;;0.0008 ;;0.0227 ;;;;;;;0.0536 ;;;0.0002 ;
711;85;85;;7099679;730889;Vaennaes;Yes;Dark;Gray;Quartzite;Point preform;Preform;;Medium-grained;Granoblastic;Non-foliated;Conchoidal;No;Dark mineral inclusion;;32;94;11;34;3008;Large;0.0263 ;1.5887 ;2.9858 ;91.5760 ;0.2927 ;0.7855 ;0.7977 ;0.9577 ;0.3200 ;;0.0137 ;0.1984 ;0.0081 ;0.0021 ;;;;;;;;;;;;;;;;;0.2890 ;;;;;;;0.1584 ;;;;
948;286;286;Taerna 34;7316753;502381;Taerna;Yes;Light;Opaque;Breccie quartz;Point preform;Preform;;Fine-grained;Granoblastic;Non-foliated;Conchoidal;No;Dark mineral grains;;42;54;13;31;2268;Large;56.8579 ;0.3084 ;1.7308 ;40.5421 ;0.0192 ;0.0124 ;;0.2369 ;0.1174 ;;;;0.0989 ;;;;;;;;0.0007 ;0.0001 ;0.0029 ;;;;;;0.0009 ;;0.0131 ;;;;;;;0.0583 ;;;;
950;288;288;Taerna 594;7327983;491179;Taerna;Yes;Light;Opaque;Breccie quartz;Point preform;Preform;;Fine-grained;Granoblastic;Non-foliated;Conchoidal;No;Dark mineral grains;;39;77;22;57;3003;Large;0.0247 ;2.3436 ;2.5497 ;93.9328 ;0.0680 ;0.0994 ;0.2620 ;0.2525 ;0.0624 ;;0.0190 ;0.1757 ;;0.0041 ;;;;;;;;;;;;;;;0.0063 ;;0.1514 ;;;;;;;0.0481 ;;;;
951;289;289;Taerna 14;7325955;493928;Taerna;No;Light;Opaque;Breccie quartz;Point preform;Preform;;Fine-grained;Granoblastic;Non-foliated;Fine;No;Dark mineral grains;;29;68;7;17;1972;Medium;57.4466 ;;0.1548 ;42.2883 ;;;0.0338 ;0.0257 ;0.0148 ;;;;0.0105 ;;;;;;;;;;0.0017 ;;;;;;0.0006 ;;0.0104 ;;;;;;;0.0081 ;;;;
952;290;290;Taerna 34;7316753;502381;Taerna;Yes;Light;Opaque;Breccie quartz;Point preform;Preform;;Fine-grained;Granoblastic;Non-foliated;Conchoidal;No;Dark mineral grains;Iron oxide;28;43;7;10;1204;Medium;55.9119 ;0.4587 ;0.6236 ;42.5947 ;0.0126 ;0.0448 ;0.1643 ;0.0749 ;0.0589 ;0.0003 ;;;0.0280 ;;;;;;;;0.0004 ;;0.0013 ;;;;;;;;0.0066 ;;;;;;;0.0189 ;;;;
953;291;291;Taerna 34;7316753;502381;Taerna;Yes;Light;Opaque;Breccie quartz;Point preform;Preform;;Fine-grained;Granoblastic;Non-foliated;Conchoidal;No;Dark mineral grains;;36;27;9;11;972;Medium;55.2993 ;0.4261 ;0.9647 ;42.8886 ;0.0107 ;0.0603 ;0.0592 ;0.1159 ;0.0888 ;;0.0042 ;;0.0433 ;;;;;;;;0.0008 ;;0.0026 ;;;;;;;;0.0097 ;;;;;;;0.0259 ;;;;
955;293;293;Taerna 39;7315331;500907;Taerna;Yes;Light;Opaque;Breccie quartz;Point preform;Preform;;Fine-grained;Granoblastic;Non-foliated;Conchoidal;No;Dark mineral grains;;38;65;14;31;2470;Large;56.5557 ;;0.8850 ;42.1777 ;0.0291 ;0.0320 ;0.0509 ;0.1762 ;0.0310 ;;;;0.0371 ;;;;;;;0.0001 ;;;0.0015 ;;;;;;0.0007 ;;0.0087 ;;;;;;;0.0143 ;;;;
956;294;294;;7285986;509493;Taerna;No;Light;Opaque;Breccie quartz;Point preform;Preform;;Fine-grained;Granoblastic;Non-foliated;Conchoidal;Yes;;;31;61;14;27;1891;Medium;0.0240 ;;2.7447 ;95.1577 ;0.0920 ;0.1622 ;0.3557 ;0.7289 ;0.1554 ;;0.0186 ;0.1895 ;;0.0038 ;;;;;;;;;;;;;;;0.0055 ;;0.2331 ;;;;;;;0.1288 ;;;;
957;295;295;Taerna 549;7324575;493441;Taerna;Yes;Light;Opaque;Breccie quartz;Arrow point preform;Preform;;Fine-grained;Granoblastic;Non-foliated;Conchoidal;No;Dark mineral grains;;25;42;6;9;1050;Medium;59.6947 ;;0.5041 ;39.2396 ;;0.0489 ;0.0306 ;0.0691 ;0.3386 ;;0.0034 ;;0.0387 ;;;;;;;;;;0.0020 ;;;;;;;;0.0109 ;;;;;;;0.0195 ;;;;
958;296;296;Taerna 549;7324575;493441;Taerna;No;Light;Opaque;Breccie quartz;Point preform;Preform;;Fine-grained;Granoblastic;Non-foliated;Conchoidal;No;Bands of dark mineral;;35;44;10;14;1540;Medium;0.0267 ;;2.9398 ;95.1199 ;0.1018 ;0.1130 ;0.3285 ;0.6558 ;0.1394 ;;;0.2177 ;0.0108 ;0.0011 ;;;;;;;;;;;;;;;0.0060 ;;0.2476 ;;;;;;;0.0917 ;;;;
959;297;297;Taerna 549;7324575;493441;Taerna;No;Light;Opaque;Breccie quartz;Point preform;Preform;;Fine-grained;Granoblastic;Non-foliated;Conchoidal;No;Dark mineral grains;;19;31;12;3;589;Small;55.4035 ;;0.5450 ;43.7443 ;0.0097 ;0.0532 ;0.0378 ;0.1451 ;0.0169 ;;;;0.0234 ;;;;;;;0.0003 ;0.0017 ;;0.0019 ;;;;;;0.0007 ;;0.0105 ;;;;;;;0.0060 ;;;;
960;298;298;Taerna 610;7315998;501779;Taerna;Yes;Light;Opaque;Breccie quartz;Point preform;Preform;;Fine-grained;Granoblastic;Non-foliated;Fine;No;Dark mineral grains;;62;98;24;178;6076;Large;57.2274 ;0.2513 ;0.7340 ;41.4902 ;0.0142 ;0.0482 ;0.0116 ;0.1216 ;0.0314 ;;0.0018 ;;0.0421 ;;;;;;;;;;0.0007 ;;;;;;0.0008 ;;0.0164 ;;;;;;;0.0083 ;;;;
961;299;299;Taerna 594;7327983;491179;Taerna;Yes;Light;Opaque;Breccie quartz;Point preform;Preform;;Fine-grained;Granoblastic;Non-foliated;Conchoidal;No;Dark mineral grains;;38;59;12;27;2242;Large;62.0155 ;;1.4010 ;35.8450 ;0.0131 ;0.0387 ;;0.3240 ;0.0881 ;;0.0034 ;;0.1937 ;;;;;;;0.0001 ;0.0005 ;;0.0037 ;;;;;;;;0.0180 ;;;;;;;0.0554 ;;;;
962;300;300;Taerna 37;7315883;501589;Taerna;No;Light;Opaque;Breccie quartz;Point preform;Preform;;Fine-grained;Granoblastic;Non-foliated;Conchoidal;No;Dark mineral grains;;29;44;10;13;1276;Medium;54.4055 ;0.7090 ;0.7568 ;43.7303 ;0.0200 ;0.0550 ;0.0581 ;0.1508 ;0.0565 ;;;;0.0340 ;;;;;;;0.0003 ;;;0.0020 ;;;;;;;;0.0100 ;;;;;;;0.0118 ;;;;
963;301;301;Taerna 549;7324575;493441;Taerna;No;Translucent;Translucent;Breccie quartz;Arrow point;Point;;Fine-grained;Porphyroblastic;Non-foliated;Fine;No;Dark mineral grains and bands of quartz;;23;25;6;4;575;Small;54.1613 ;0.4321 ;0.2106 ;45.0272 ;;0.0249 ;0.0900 ;0.0331 ;0.0139 ;0.0015 ;;;;;;;;;;;;;;;;;;;;;0.0054 ;;;;;;;;;;;
964;302;302;Taerna 593;7328100;491305;Taerna;Yes;Light;Opaque;Breccie quartz;Point preform;Preform;;Fine-grained;Granoblastic;Non-foliated;Fine;No;Dark mineral grains;;27;58;;;1566;Medium;54.9997 ;0.3336 ;0.5036 ;43.7116 ;0.0145 ;0.0538 ;0.1976 ;0.0871 ;0.0335 ;0.0004 ;0.0013 ;;0.0245 ;;;;;;;0.0001 ;;;0.0023 ;;;;;;;;0.0130 ;;;;;;;0.0234 ;;;;
965;303;303;;7285986;509493;Taerna;No;Light;Opaque;Breccie quartz;Point preform;Preform;;Fine-grained;Granoblastic;Non-foliated;Fine;No;Dark mineral grains;;23;57;11;11;1311;Medium;57.4843 ;;0.3921 ;41.7021 ;0.0194 ;0.0442 ;0.1410 ;0.0767 ;0.0167 ;;;;0.0334 ;;;;;;;;;;0.0017 ;;;;;;0.0006 ;;0.0156 ;;;;;;;0.0045 ;;;;
966;304;304;Taerna 549;7324575;493441;Taerna;No;Light;Opaque;Breccie quartz;Arrow point;Point;;Fine-grained;Granoblastic;Non-foliated;Fine;No;Dark mineral grains;;16;37;6;5;592;Small;53.8148 ;;0.4385 ;45.5401 ;0.0095 ;0.0264 ;0.0526 ;0.0562 ;0.0135 ;0.0003 ;0.0033 ;;0.0219 ;;;;;;;0.0001 ;0.0006 ;;0.0036 ;;;;;;0.0007 ;;0.0067 ;;;;;;;0.0114 ;;;;
967;305;305;Taerna 565;7327215;481201;Taerna;No;Light;Opaque;Breccie quartz;Point preform;Preform;;Fine-grained;Granoblastic;Non-foliated;Conchoidal;No;Dark mineral grains;;52;75;28;90;3900;Large;53.5907 ;;0.2320 ;45.7141 ;0.0125 ;0.0696 ;0.0925 ;0.0576 ;0.0238 ;;0.0016 ;;0.0051 ;;;;;;;0.0002 ;;;0.0042 ;;;;;;0.0007 ;;0.0157 ;;;;;;;0.0066 ;;;;
968;306;306;;7285986;509493;Taerna;Yes;Light;Opaque;Breccie quartz;Point;Point;;Fine-grained;Granoblastic;Non-foliated;Conchoidal;No;Dark mineral grains;;23;115;;;2645;Large;58.1726 ;;0.4591 ;40.7297 ;0.0383 ;0.1179 ;0.2188 ;0.1629 ;0.0442 ;;;;0.0346 ;;;;;;;;0.0002 ;;0.0029 ;;;;;;0.0006 ;;0.0125 ;;;;;;;0.0058 ;;;;
969;307;307;Taerna 656;7331934;479565;Taerna;Yes;Light;Opaque;Breccie quartz;Point preform;Preform;;Medium-grained;Granoblastic;Non-foliated;Conchoidal;No;Bands of dark mineral;Iron oxide;66;165;36;430;10890;Large;55.2546 ;;0.2272 ;44.0251 ;0.0129 ;0.0673 ;0.1228 ;0.0869 ;0.0128 ;;0.0024 ;;0.0153 ;;;;;;;;0.0001 ;;0.0019 ;;;;;;0.0008 ;;0.0156 ;;;;;;;0.0045 ;;;;
972;309;309;Taerna 610;7315998;501779;Taerna;No;Light;Opaque;Breccie quartz;Point preform;Preform;;Medium-grained;Granoblastic;Non-foliated;Fine;No;Dark mineral inclusion;;23;61;7;11;1403;Medium;57.3522 ;;0.3281 ;41.8596 ;;0.0168 ;0.0915 ;0.1762 ;0.0098 ;;0.0044 ;;0.0405 ;;;;;;;0.0004 ;;;0.0021 ;;;;;;0.0005 ;;0.0133 ;;;;;;;0.0125 ;;;;
973;310;310;Taerna 610;7315998;501779;Taerna;No;Light;Opaque;Breccie quartz;Point preform;Preform;;Medium-grained;Granoblastic;Non-foliated;Fine;No;Dark mineral grains;;27;72;12;23;1944;Medium;0.0176 ;1.2666 ;2.9958 ;93.5754 ;0.1918 ;0.3129 ;0.2578 ;0.5494 ;0.2435 ;;0.0438 ;0.1348 ;0.0149 ;0.0047 ;;;;;;;;;;;;;;;0.0048 ;;0.1704 ;;;;;;;0.2159 ;;;;
974;311;311;Taerna 549;7324575;493441;Taerna;No;Translucent;Translucent;Breccie quartz;Point preform;Preform;;Fine-grained;Granoblastic;Non-foliated;Fine;No;Dark mineral grains;;32;34;7;8;1088;Medium;55.5013 ;;0.2918 ;44.0883 ;0.0111 ;0.0456 ;;0.0241 ;0.0170 ;;0.0051 ;;0.0024 ;;;;;;;;0.0008 ;;0.0023 ;;;;;;;;0.0065 ;;;;;;;0.0038 ;;;;
975;312;312;;7285986;509493;Taerna;No;Translucent;Translucent;Breccie quartz;Arrow point;Point;;Fine-grained;Granoblastic;Non-foliated;Fine;No;Dark mineral grains;;19;30;5;2;570;Small;56.9595 ;;0.5782 ;42.1189 ;0.0376 ;0.0550 ;;0.0659 ;0.0438 ;;0.0053 ;;0.0188 ;;;;;;;;0.0006 ;;0.0025 ;;;;;;;;;;;;;;;0.0038 ;;;;
976;313;313;Taerna 549;7324575;493441;Taerna;No;Light;Opaque;Breccie quartz;Arrow point;Point;;Fine-grained;Granoblastic;Non-foliated;Conchoidal;No;Dark mineral grains;;28;50;8;14;1400;Medium;55.8233 ;;0.1489 ;43.4913 ;0.0138 ;0.0537 ;0.1150 ;0.0371 ;0.0159 ;;0.0040 ;;0.0719 ;;;;;;;;;;0.0013 ;;;;;;;;0.0116 ;;;;;;;0.0076 ;;;;
978;315;315;;7285986;509493;Taerna;No;Light;Opaque;Breccie quartz;Preform;Preform;;Fine-grained;Granoblastic;Non-foliated;Conchoidal;No;Dark mineral grains;;31;103;25;72;3193;Large;59.3374 ;;0.4227 ;39.7820 ;0.0130 ;0.0636 ;0.1548 ;0.1348 ;0.0224 ;;0.0081 ;;0.0261 ;;;;;;;;;;0.0013 ;;;;;;0.0007 ;;0.0188 ;;;;;;;0.0143 ;;;;
979;316;316;Taerna 594;7327983;491179;Taerna;Yes;Light;Opaque;Breccie quartz;Point preform;Preform;;Fine-grained;Granoblastic;Non-foliated;Conchoidal;No;Dark mineral grains;;41;84;23;63;3444;Large;55.8795 ;0.4044 ;0.3136 ;43.2549 ;;0.0290 ;0.0214 ;0.0358 ;0.0278 ;;0.0008 ;;0.0125 ;;;;;;;;0.0003 ;;0.0029 ;;;;;;;;0.0138 ;;;;;;;0.0033 ;;;;
980;318;318;Taerna 89;7290912;508697;Taerna;Yes;Translucent;Translucent;Quartzite;Point preform;Preform;;Fine-grained;Granoblastic;Non-foliated;Smooth;Yes;;;22;47;;;1034;Medium;58.7351 ;;0.7581 ;39.7055 ;0.0315 ;0.1025 ;0.2379 ;0.1679 ;0.0481 ;;0.0007 ;;0.0686 ;;;;;;;;;;;;;;;;;;0.0109 ;;;;;;;0.0203 ;;;;
981;319;319;;7285986;509493;Taerna;No;Light;Opaque;Breccie quartzite;Point preform;Preform;;Fine-grained;Granoblastic;Non-foliated;Smooth;No;Dark mineral inclusion;;29;48;;;1392;Medium;0.0315 ;;0.3307 ;98.3419 ;0.1184 ;0.1836 ;0.3364 ;0.2280 ;0.0293 ;;0.0297 ;0.1846 ;0.0072 ;0.0083 ;;;;;;;;;;;;;;;;;0.1393 ;;;;;;;0.0312 ;;;;
1002;339;339;Lycksele 335;7166887;677056;Lycksele;No;White;White;Quartzite;Point preform;Preform;;Fine-grained;Granoblastic;Non-foliated;Irregular;Yes;;;25;63;;;1575;Medium;58.9986 ;;0.2396 ;40.2369 ;0.0434 ;0.0198 ;0.1670 ;0.0602 ;0.0303 ;;;;0.0323 ;;;;;;;;;;;;;;;;0.0005 ;;0.0123 ;;;;;;;0.0052 ;;;;
1003;343;343;;7172386;663884;Lycksele;Yes;Dark;Black;Quartzite;Preform;Preform;;Medium-grained;Granoblastic;Non-foliated;Conchoidal;Yes;;;30;70;;;2100;Large;62.5580 ;;;37.0284 ;;0.0414 ;0.1785 ;0.0696 ;0.0048 ;;0.0015 ;;0.0373 ;;;;;;;;0.0003 ;;0.0011 ;;;;;;0.0013 ;;0.0273 ;;;;;;;0.0094 ;;;;
1004;341;341;Lycksele 335;7166887;677056;Lycksele;Yes;Light;Opaque;Quartzite;Point preform;Preform;;Fine-grained;Granoblastic;Non-foliated;Conchoidal;Yes;;;19;50;;;950;Medium;;1.1934 ;5.3225 ;90.2421 ;0.7110 ;0.1372 ;0.9968 ;0.5823 ;0.5006 ;;0.0089 ;0.1617 ;0.0133 ;0.0044 ;;;;;;;;;;;;;;;0.0036 ;;0.0658 ;;;;;;;0.1016 ;;;;
1005;338;338;;7172386;663884;Lycksele;Yes;Dark;Gray;Quartzite;Point preform;Preform;;Medium-grained;Granoblastic;Non-foliated;Fine;Yes;;;43;106;9;49;4558;Large;0.0010 ;2.0052 ;4.4858 ;89.3786 ;0.3421 ;0.3958 ;0.9487 ;1.1821 ;0.2814 ;0.0032 ;0.0230 ;0.1327 ;0.0160 ;0.0040 ;;;;;;;;;;;;;;;;;0.1789 ;;;;;;;0.6214 ;;;;
